"Symbol","Scientific.Name","Common.Name","BPS_MODEL","SWOPAG","Blue.Book.Plant.Association","P.A.Blue.Book.PAG.Name","Plant.Association","PAG.Name"
"QUAR","Quercus arizonica","Arizona white oak","10240_25_27",NA,NA,NA,NA,NA
"PIAR5","Pinus arizonica","Arizona pine","10240_25_27",NA,NA,NA,NA,NA
"PIEN2","Pinus engelmannii","Apache pine","10240_25_27",NA,NA,NA,NA,NA
"QUEM","Quercus emoryi","Emory oak","10240_25_27",NA,NA,NA,NA,NA
"PIST3","Pinus strobiformis","Southwestern white pine","10240_25_27",NA,NA,NA,NA,NA
"PILE","Pinus leiophylla","Chihuahuan pine","10240_25_27",NA,NA,NA,NA,NA
"QUERC","Quercus","Oak","10240_26",NA,NA,NA,NA,NA
"JUDE","Juncus debilis","Weak rush","10240_26",NA,NA,NA,NA,NA
"CEMO2","Cercocarpus montanus","Alderleaf mountain mahogany","10240_26",NA,NA,NA,NA,NA
"MUHLE","Muhlenbergia","Muhly","10240_26",NA,NA,NA,NA,NA
"PIPO","Pinus ponderosa","Ponderosa pine","10240_26",NA,NA,NA,NA,NA
"JUDE","Juncus debilis","Weak rush","10250_14_15_24_25_26",NA,NA,NA,NA,NA
"PIED","Pinus edulis","Twoneedle pinyon","10250_14_15_24_25_26",NA,NA,NA,NA,NA
"PIDI3","Pinus discolor","Border pinyon","10250_14_15_24_25_26",NA,NA,NA,NA,NA
"QUAR","Quercus arizonica","Arizona white oak","10250_14_15_24_25_26",NA,NA,NA,NA,NA
"QUEM","Quercus emoryi","Emory oak","10250_14_15_24_25_26",NA,NA,NA,NA,NA
"QUGR3","Quercus grisea","Gray oak","10250_14_15_24_25_26",NA,NA,NA,NA,NA
"QUOB","Quercus oblongifolia","Mexican blue oak","10250_14_15_24_25_26",NA,NA,NA,NA,NA
"PILE","Pinus leiophylla","Chihuahuan pine","10250_14_15_24_25_26",NA,NA,NA,NA,NA
"QUMO","Quercus mohriana","Mohr oak","10250_14_15_24_25_26",NA,NA,NA,NA,NA
"PSME","Pseudotsuga menziesii","Douglas-fir","10260_15",NA,NA,NA,NA,NA
"ABCO","Abies concolor","White fir","10260_15",NA,NA,NA,NA,NA
"QUHY","Quercus hypoleucoides","Silverleaf oak","10260_15",NA,NA,NA,NA,NA
"QURU4","Quercus rugosa","Netleaf oak","10260_15",NA,NA,NA,NA,NA
NA,NA,NA,"10270_2_3_7","1407","PSME-CADE27/BEPI2","Douglas-fir/Poison Oak-warm, often low elevation",NA,NA
NA,NA,NA,"10270_2_3_7","1407","PSME-PIPO/RHDI6","Douglas-fir/Poison Oak-warm, often low elevation",NA,NA
NA,NA,NA,"10270_2_3_7","1407","PSME-QUKE/RHDI6","Douglas-fir/Poison Oak-warm, often low elevation",NA,NA
NA,NA,NA,"10270_2_3_7","1407","PSME/DRY SHRUB","Douglas-fir/Poison Oak-warm, often low elevation",NA,NA
NA,NA,NA,"10270_2_3_7","1407","PSME/HODI/WHMO-SWO","Douglas-fir/Poison Oak-warm, often low elevation",NA,NA
NA,NA,NA,"10270_2_3_7","1408","PSME-ABCO/SYMO","Douglas-fir-Canyon Live Oak-cool, dry - SWO",NA,NA
NA,NA,NA,"10270_2_3_7","1408","PSME-QUCH2-LIDE3","Douglas-fir-Canyon Live Oak-cool, dry - SWO",NA,NA
NA,NA,NA,"10270_2_3_7","1408","PSME-QUCH2/BENE2","Douglas-fir-Canyon Live Oak-cool, dry - SWO",NA,NA
NA,NA,NA,"10270_2_3_7","1408","PSME-QUCH2/RHDI6","Douglas-fir-Canyon Live Oak-cool, dry - SWO",NA,NA
NA,NA,NA,"10270_2_3_7","1408","PSME/ACCI-BENE2","Douglas-fir-Canyon Live Oak-cool, dry - SWO",NA,NA
NA,NA,NA,"10270_2_3_7","1408","PSME/ARNE-SWO","Douglas-fir-Canyon Live Oak-cool, dry - SWO",NA,NA
NA,NA,NA,"10270_2_3_7","1408","PSME/BENE2/POMU","Douglas-fir-Canyon Live Oak-cool, dry - SWO",NA,NA
NA,NA,NA,"10270_2_3_7","1411","PSME-CADE27","Douglas-fir-Ultramafic - SWO",NA,NA
NA,NA,NA,"10270_2_3_7","1411","PSME-CADE27-PIJE","Douglas-fir-Ultramafic - SWO",NA,NA
NA,NA,NA,"10270_2_3_7","1411","PSME/QUVA","Douglas-fir-Ultramafic - SWO",NA,NA
"PIPO","Pinus ponderosa","Ponderosa pine","10270_4_5_6",NA,NA,NA,NA,NA
"PILA","Pinus lambertiana","Sugar pine","10270_4_5_6",NA,NA,NA,NA,NA
"QUKE","Quercus kelloggii","California black oak","10270_4_5_6",NA,NA,NA,NA,NA
"CADE27","Calocedrus decurrens","Incense cedar","10270_4_5_6",NA,NA,NA,NA,NA
"ABCO","Abies concolor","White fir","10270_4_5_6",NA,NA,NA,NA,NA
"","","","10270_4_5_6",NA,NA,NA,NA,NA
NA,NA,NA,"10280_2_3","1409","PSME-CACH6/BENE2","Douglas-fir-Chinquapin/Salal - SWO",NA,NA
NA,NA,NA,"10280_2_3","1409","PSME/GASH-BENE2","Douglas-fir-Chinquapin/Salal - SWO",NA,NA
NA,NA,NA,"10280_2_3","1409","PSME/RUSP/POMU","Douglas-fir-Chinquapin/Salal - SWO",NA,NA
NA,NA,NA,"10280_2_3","1409","PSME/GASH-RHMA3","Douglas-fir-Chinquapin/Salal - SWO",NA,NA
NA,NA,NA,"10280_2_3","1411","PSME/QUVA-ARNE/XETE","Douglas-fir-Ultramafic - SWO",NA,NA
NA,NA,NA,"10280_2_3","2001","ABCO-LIDE3/CHUM","White Fir - cool, dry",NA,NA
NA,NA,NA,"10280_2_3","2001","ABCO/ARNE","White Fir - cool, dry",NA,NA
NA,NA,NA,"10280_2_3","2001","ABCO/QUVA","White Fir - cool, dry",NA,NA
NA,NA,NA,"10280_2_3","2001","ABCO/XETE","White Fir - cool, dry",NA,NA
NA,NA,NA,"10280_2_3","2002","ABCO/ACCI/OXOR","White Fir/Pacific Rhododendron",NA,NA
NA,NA,NA,"10280_2_3","2002","ABCO/RHMA3-BENE2","White Fir/Pacific Rhododendron",NA,NA
NA,NA,NA,"10280_2_3","2002","ABCO/RHMA3-QUSA2","White Fir/Pacific Rhododendron",NA,NA
NA,NA,NA,"10280_2_3","2003","ABCO-CADE27/TRLA6","White Fir/Dwarf Oregongrape",NA,NA
NA,NA,NA,"10280_2_3","2003","ABCO/BENE2","White Fir/Dwarf Oregongrape",NA,NA
NA,NA,NA,"10280_2_3","2003","ABCO/BENE2/ACTR","White Fir/Dwarf Oregongrape",NA,NA
NA,NA,NA,"10280_2_3","2003","ABCO/BENE2/LIBOL","White Fir/Dwarf Oregongrape",NA,NA
NA,NA,NA,"10280_2_3","2004","ABCO-PSME/ROGY","White Fir-Douglas-fir - warm, dry",NA,NA
NA,NA,NA,"10280_2_3","2004","ABCO/SYMO","White Fir-Douglas-fir - warm, dry",NA,NA
NA,NA,NA,"10280_2_3","2004","PSME-ABCO","White Fir-Douglas-fir - warm, dry",NA,NA
NA,NA,NA,"10280_2_3","2006","ABCO-TSHE/BENE2/LIBOL","White Fir-Western Hemlock/Dwarf Oregongrape",NA,NA
NA,NA,NA,"10280_2_3","2006","ABCO/GASH-BENE2","White Fir-Western Hemlock/Dwarf Oregongrape",NA,NA
NA,NA,NA,"10280_2_3","2098","ABCO-ABMAS/ACTR","White Fir-Shasta Red Fir",NA,NA
NA,NA,NA,"10280_2_3","2098","ABCO-ABMAS/CHUM-ANDE3","White Fir-Shasta Red Fir",NA,NA
NA,NA,NA,"10280_2_3","2098","ABCO-ABMAS/QUSA2","White Fir-Shasta Red Fir",NA,NA
NA,NA,NA,"10280_2_3","2098","ABCO-PIBR/CHUM-PYPI2","White Fir-Shasta Red Fir",NA,NA
"ABCO","Abies concolor","White fir","10280_4_6_7_12",NA,NA,NA,NA,NA
"PSME","Pseudotsuga menziesii","Douglas-fir","10280_4_6_7_12",NA,NA,NA,NA,NA
"PILA","Pinus lambertiana","Sugar pine","10280_4_6_7_12",NA,NA,NA,NA,NA
"PIPO","Pinus ponderosa","Ponderosa pine","10280_4_6_7_12",NA,NA,NA,NA,NA
"CADE27","Calocedrus decurrens","Incense cedar","10280_4_6_7_12",NA,NA,NA,NA,NA
"PIJE","Pinus jeffreyi","Jeffrey pine","10280_4_6_7_12",NA,NA,NA,NA,NA
"SEGI2","Sequoiadendron giganteum","Giant sequoia","10280_4_6_7_12",NA,NA,NA,NA,NA
"QUGA4","Quercus garryana","Oregon white oak","10290_2_3_4_5_6_7_12",NA,NA,NA,NA,NA
"QUKE","Quercus kelloggii","California black oak","10290_2_3_4_5_6_7_12",NA,NA,NA,NA,NA
"PIPO","Pinus ponderosa","Ponderosa pine","10290_2_3_4_5_6_7_12",NA,NA,NA,NA,NA
"PSME","Pseudotsuga menziesii","Douglas-fir","10290_2_3_4_5_6_7_12",NA,NA,NA,NA,NA
"TODI","Toxicodendron diversilobum","Pacific poison oak","10290_2_3_4_5_6_7_12",NA,NA,NA,NA,NA
"FECA","Festuca Californica","California fescue","10290_2_3_4_5_6_7_12",NA,NA,NA,NA,NA
"FEIDR2","Festuca roemeri","Roemer’s fescue","10290_2_3_4_5_6_7_12",NA,NA,NA,NA,NA
"QUKE","Quercus kelloggii","California black oak","10300_2_3_4_5_6_7",NA,NA,NA,NA,NA
"QUGA4","Quercus garryana","Oregon white oak","10300_2_3_4_5_6_7",NA,NA,NA,NA,NA
"QUCH2","Quercus chrysolepis","Canyon live oak","10300_2_3_4_5_6_7",NA,NA,NA,NA,NA
"PIPO","Pinus ponderosa","Ponderosa pine","10300_2_3_4_5_6_7",NA,NA,NA,NA,NA
"PSME","Pseudotsuga menziesii","Douglas-fir","10300_2_3_4_5_6_7",NA,NA,NA,NA,NA
"QUWI2","Quercus wislizeni","Interior live oak","10300_2_3_4_5_6_7",NA,NA,NA,NA,NA
"FEID","Festuca idahoensis","Idaho fescue","10300_2_3_4_5_6_7",NA,NA,NA,NA,NA
"TODI","Toxicodendron diversilobum","Pacific poison oak","10300_2_3_4_5_6_7",NA,NA,NA,NA,NA
"PIJE","Pinus jeffreyi","Jeffrey pine","10310_2_3_4_5_6_12",NA,NA,NA,NA,NA
"PIPO","Pinus ponderosa","Ponderosa pine","10310_2_3_4_5_6_12",NA,NA,NA,NA,NA
"PUTR2","Purshia tridentata","Antelope bitterbrush","10310_2_3_4_5_6_12",NA,NA,NA,NA,NA
"QUVA","Quercus vacciniifolia","Huckleberry oak","10310_2_3_4_5_6_12",NA,NA,NA,NA,NA
"ARPA6","Arctostaphylos patula","Greenleaf manzanita","10310_2_3_4_5_6_12",NA,NA,NA,NA,NA
"PIJE","Pinus jeffreyi","Jeffrey pine","10310_7",NA,NA,NA,NA,NA
"PIPO","Pinus ponderosa","Ponderosa pine","10310_7",NA,NA,NA,NA,NA
"PUTR2","Purshia tridentata","Antelope bitterbrush","10310_7",NA,NA,NA,NA,NA
"ARTRV","Artemisia tridentata ssp. vaseyana","Mountain big sagebrush","10310_7",NA,NA,NA,NA,NA
"FEID","Festuca idahoensis","Idaho fescue","10310_7",NA,NA,NA,NA,NA
"ACHNA","Achnatherum","Needlegrass","10310_7",NA,NA,NA,NA,NA
"ELEL5","Elymus elymoides","Squirreltail","10310_7",NA,NA,NA,NA,NA
"CARO5","Carex Rossii","Ross’ sedge","10310_7",NA,NA,NA,NA,NA
NA,NA,NA,"10320_2_3_7","2101","ABMAS-ABCO/SYMO/CHUM","Shasta Red Fir - Cascade Province",NA,NA
NA,NA,NA,"10320_2_3_7","2101","ABMAS-PICO/ARNE/CHUM","Shasta Red Fir - Cascade Province",NA,NA
NA,NA,NA,"10320_2_3_7","2101","ABMAS-TSME/ARNE/CHUM","Shasta Red Fir - Cascade Province",NA,NA
NA,NA,NA,"10320_2_3_7","2101","ABMAS/PAMY/PYSE","Shasta Red Fir - Cascade Province",NA,NA
NA,NA,NA,"10320_2_3_7","2101","ABMAS/VAME/CHUM","Shasta Red Fir - Cascade Province",NA,NA
NA,NA,NA,"10320_2_3_7","2103","ABMAS-ABCO/QUSA2/CHUM","Shasta Red Fir - Siskiyou Province",NA,NA
NA,NA,NA,"10320_2_3_7","2103","ABMAS-ABCO/QUSA2/PYSE","Shasta Red Fir - Siskiyou Province",NA,NA
NA,NA,NA,"10320_2_3_7","2103","ABMAS-ABCO/ROGY/PYSE","Shasta Red Fir - Siskiyou Province",NA,NA
NA,NA,NA,"10320_2_3_7","2103","ABMAS/OSCH","Shasta Red Fir - Siskiyou Province",NA,NA
NA,NA,NA,"10320_2_3_7","1701","PIMO3/XETE","Western White Pine - SWO",NA,NA
"ABMA","Abies magnifica","California red fir","10321_6",NA,NA,NA,NA,NA
"ABCO","Abies concolor","White fir","10321_6",NA,NA,NA,NA,NA
"PIJE","Pinus jeffreyi","Jeffrey pine","10321_6",NA,NA,NA,NA,NA
"PICO","Pinus contorta","Lodgepole pine","10321_6",NA,NA,NA,NA,NA
"ABMA","Abies magnifica","California red fir","10322_6",NA,NA,NA,NA,NA
"PIMO3","Pinus monticola","Western white pine","10322_6",NA,NA,NA,NA,NA
"PICO","Pinus contorta","Lodgepole pine","10322_6",NA,NA,NA,NA,NA
"TSME","Tsuga mertensiana","Mountain hemlock","10322_6",NA,NA,NA,NA,NA
"PICO","Pinus contorta","Lodgepole pine","10330_12",NA,NA,NA,NA,NA
"PIAL","Pinus albicaulis","Whitebark pine","10330_12",NA,NA,NA,NA,NA
"ABLA","Abies lasiocarpa","Subalpine fir","10330_12",NA,NA,NA,NA,NA
"PIAL","Pinus albicaulis","Whitebark pine","10330_3_6_7",NA,NA,NA,NA,NA
"TSME","Tsuga mertensiana","Mountain hemlock","10330_3_6_7",NA,NA,NA,NA,NA
"ABMA","Abies magnifica","California red fir","10330_3_6_7",NA,NA,NA,NA,NA
"CUSA3","Cupressus sargentii","Sargent’s cypress","10340_4_6_7",NA,NA,NA,NA,NA
"PISA2","Pinus sabiniana","California foothill pine","10340_4_6_7",NA,NA,NA,NA,NA
"GACO9","Garrya congdonii","Chaparral silktassel","10340_4_6_7",NA,NA,NA,NA,NA
"QUDU4","Quercus durata","Leather oak","10340_4_6_7",NA,NA,NA,NA,NA
"UMCA","Umbellularia californica","California laurel","10340_4_6_7",NA,NA,NA,NA,NA
"FRCA12","Frangula californica","California buckthorn","10340_4_6_7",NA,NA,NA,NA,NA
"PSME","Pseudotsuga menziesii","Douglas-fir","10350_1_2_7",NA,NA,NA,NA,NA
"ABGR","Abies grandis","Grand fir","10350_1_2_7",NA,NA,NA,NA,NA
"CADE27","Calocedrus decurrens","Incense cedar","10350_1_2_7",NA,NA,NA,NA,NA
"PISI","Picea sitchensis","Sitka spruce","10360_1_2",NA,NA,NA,NA,NA
"TSHE","Tsuga heterophylla","Western hemlock","10360_1_2",NA,NA,NA,NA,NA
"PSEUD7","Pseudotsuga","Douglas-fir","10360_1_2",NA,NA,NA,NA,NA
"ALRU2","Alnus rubra","Red alder","10360_1_2",NA,NA,NA,NA,NA
"RUSP","Rubus spectabilis","Salmonberry","10360_1_2",NA,NA,NA,NA,NA
"PSME","Pseudotsuga menziesii","Douglas-fir","10370_1_2_7",NA,NA,NA,NA,NA
"TSHE","Tsuga heterophylla","Western hemlock","10370_1_2_7",NA,NA,NA,NA,NA
"THPL","Thuja plicata","Western red cedar","10370_1_2_7",NA,NA,NA,NA,NA
"","","","10370_1_2_7",NA,NA,NA,NA,NA
"TSME","Tsuga mertensiana","Mountain hemlock","10380_1_7",NA,NA,NA,NA,NA
"ABLA","Abies lasiocarpa","Subalpine fir","10380_1_7",NA,NA,NA,NA,NA
"ABAM","Abies amabilis","Pacific silver fir","10380_1_7",NA,NA,NA,NA,NA
"CHNO","Chamaecyparis nootkatensis","Alaska cedar","10380_1_7",NA,NA,NA,NA,NA
"PSME","Pseudotsuga menziesii","Douglas-fir","10390_1_2_3_7",NA,NA,NA,NA,NA
"TSHE","Tsuga heterophylla","Western hemlock","10390_1_2_3_7",NA,NA,NA,NA,NA
"THPL","Thuja plicata","Western red cedar","10390_1_2_3_7",NA,NA,NA,NA,NA
"TSME","Tsuga mertensiana","Mountain hemlock","10411_1_7",NA,NA,NA,NA,NA
"ABAM","Abies amabilis","Pacific silver fir","10411_1_7",NA,NA,NA,NA,NA
"CHNO","Chamaecyparis nootkatensis","Alaskan yellow cedar","10411_1_7",NA,NA,NA,NA,NA
"VACCI","Vaccinium","Blueberry","10411_1_7",NA,NA,NA,NA,NA
"VACCI","Vaccinium","Blueberry","10412_1_7",NA,NA,NA,NA,NA
"PICO","Pinus contorta","Lodgepole pine","10412_1_7",NA,NA,NA,NA,NA
"ABAM","Abies amabilis","Pacific silver fir","10412_1_7",NA,NA,NA,NA,NA
"CHNO","Chamaecyparis nootkatensis","Alaska cedar","10412_1_7",NA,NA,NA,NA,NA
"TSME","Tsuga mertensiana","Mountain hemlock","10412_1_7",NA,NA,NA,NA,NA
"ABAM","Abies amabilis","Pacific silver fir","10420_1_7",NA,NA,NA,NA,NA
"TSHE","Tsuga heterophylla","Western hemlock","10420_1_7",NA,NA,NA,NA,NA
"THPL","Thuja plicata","Western red-cedar","10420_1_7",NA,NA,NA,NA,NA
"CHNO","Chamaecyparis nootkatensis","Alaska yellow cedar","10420_1_7",NA,NA,NA,NA,NA
"PSMEM","Pseudotsuga menziesii var. menziesii","Douglas-fir","10430_5",NA,NA,NA,NA,NA
"LIDE3","Lithocarpus densiflorus","Tanoak","10430_5",NA,NA,NA,NA,NA
"ARME","Arbutus menziesii","Pacific madrone","10430_5",NA,NA,NA,NA,NA
"UMCA","Umbellularia californica","California laurel","10430_5",NA,NA,NA,NA,NA
"PILA","Pinus lambertiana","Sugar pine","10430_5",NA,NA,NA,NA,NA
"POMU","Polystichum munitum","Western swordfern","10430_5",NA,NA,NA,NA,NA
NA,NA,NA,"10431_2_3_6_7","1501",NA,NA,"LIDE3-ABCO/BENE2","Tanoak-Canyon Live Oak and/or Sadler Oak"
NA,NA,NA,"10431_2_3_6_7","1501",NA,NA,"LIDE3-CACH6-PILA","Tanoak-Canyon Live Oak and/or Sadler Oak"
NA,NA,NA,"10431_2_3_6_7","1501",NA,NA,"LIDE3-CACH6/GASH-QUSA2","Tanoak-Canyon Live Oak and/or Sadler Oak"
NA,NA,NA,"10431_2_3_6_7","1501",NA,NA,"LIDE3-PSME-QUCH2/BENE2","Tanoak-Canyon Live Oak and/or Sadler Oak"
NA,NA,NA,"10431_2_3_6_7","1501",NA,NA,"LIDE3-PSME-QUCH2/RHDI6","Tanoak-Canyon Live Oak and/or Sadler Oak"
NA,NA,NA,"10431_2_3_6_7","1501",NA,NA,"LIDE3-PSME/QUSA2-BENE2","Tanoak-Canyon Live Oak and/or Sadler Oak"
NA,NA,NA,"10431_2_3_6_7","1521",NA,NA,"LIDE3/ARCTO3/XETE","Tanoak-Ultramafic"
NA,NA,NA,"10432_2_3","1502",NA,NA,"LIDE3-ACMA3-QUCH2/POMU","Tanoak-Bigleaf Maple-Canyon Live Oak/Western Swordfern"
NA,NA,NA,"10432_2_3","1503",NA,NA,"LIDE3-CHLA/GASH","Tanoak/Salal"
NA,NA,NA,"10432_2_3","1503",NA,NA,"LIDE3-PSME/GASH-BENE2","Tanoak/Salal"
NA,NA,NA,"10432_2_3","1504",NA,NA,"LIDE3-PSME/GASH-RHMA3","Tanoak/Evergreen Huckleberry"
NA,NA,NA,"10432_2_3","1504",NA,NA,"LIDE3-PSME/GASH-VAOV2","Tanoak/Evergreen Huckleberry"
NA,NA,NA,"10432_2_3","1504",NA,NA,"LIDE3-TSHE/VAOV2-RHDI6","Tanoak/Evergreen Huckleberry"
NA,NA,NA,"10432_2_3","1504",NA,NA,"LIDE3-TSHE/VAOV2/POMU","Tanoak/Evergreen Huckleberry"
NA,NA,NA,"10432_2_3","1504",NA,NA,"LIDE3-TSHE/VAOV2/POMU-RIP","Tanoak/Evergreen Huckleberry"
NA,NA,NA,"10432_2_3","1504",NA,NA,"LIDE3/VAOV2-RHMA3-GASH","Tanoak/Evergreen Huckleberry"
NA,NA,NA,"10432_2_3","1521",NA,NA,"LIDE3-PIMO3/QUVA/XETE","Tanoak-Ultramafic"
NA,NA,NA,"10432_2_3","1701",NA,NA,"PIMO3-LIDE3/QUVA/XETE","Western White Pine - SWO"
"TSME","Tsuga mertensiana","Mountain hemlock","10440_3_6_7",NA,NA,NA,NA,NA
"PICO","Pinus contorta","Lodgepole pine","10440_3_6_7",NA,NA,NA,NA,NA
"ABMA","Abies magnifica","California red fir","10440_3_6_7",NA,NA,NA,NA,NA
"PIMO3","Pinus monticola","Western white pine","10440_3_6_7",NA,NA,NA,NA,NA
"RIRO","Ribes roezlii","Sierra gooseberry","10440_3_6_7",NA,NA,NA,NA,NA
"RIMO2","Ribes montigenum","Gooseberry currant","10440_3_6_7",NA,NA,NA,NA,NA
"PIPO","Pinus ponderosa","Ponderosa pine","10450_1_7_8_9",NA,NA,NA,NA,NA
"ABGR","Abies grandis","Grand fir","10450_1_7_8_9",NA,NA,NA,NA,NA
"PSME","Pseudotsuga menziesii","Douglas-fir","10450_1_7_8_9",NA,NA,NA,NA,NA
"CAGE2","Carex geyeri","Geyer's sedge","10450_1_7_8_9",NA,NA,NA,NA,NA
"CARU","Calamagrostis rubescens","Pinegrass","10450_1_7_8_9",NA,NA,NA,NA,NA
"SYAL","Symphoricarpos albus","Common snowberry","10450_1_7_8_9",NA,NA,NA,NA,NA
"SPBE2","Spiraea betulifolia","White spirea","10450_1_7_8_9",NA,NA,NA,NA,NA
"PIPO","Pinus ponderosa","Ponderosa pine","10450_21",NA,NA,NA,NA,NA
"PSME","Pseudotsuga menziesii","Douglas-fir","10450_21",NA,NA,NA,NA,NA
"PICO","Pinus contorta","Lodgepole pine","10450_21",NA,NA,NA,NA,NA
"CARU","Calamagrostis rubescens","Pinegrass","10450_21",NA,NA,NA,NA,NA
"CAGE","Carex geophila","White mountain sedge","10450_21",NA,NA,NA,NA,NA
"PHMA5","Physocarpus malvaceus","Mallow ninebark","10450_21",NA,NA,NA,NA,NA
"SYAL","Symphoricarpos albus","Common snowberry","10450_21",NA,NA,NA,NA,NA
"MARE11","Mahonia repens","Creeping barberry","10450_21",NA,NA,NA,NA,NA
"PIPO","Pinus ponderosa","Ponderosa pine","10451_10_19",NA,NA,NA,NA,NA
"PSME","Pseudotsuga menziesii","Douglas-fir","10451_10_19",NA,NA,NA,NA,NA
"PICO","Pinus contorta","Lodgepole pine","10451_10_19",NA,NA,NA,NA,NA
"CARU","Calamagrostis rubescens","Pinegrass","10451_10_19",NA,NA,NA,NA,NA
"CAGE2","Carex geyeri","Geyer’s sedge","10451_10_19",NA,NA,NA,NA,NA
"PHMA5","Physocarpus malvaceus","Mallow ninebark","10451_10_19",NA,NA,NA,NA,NA
"ABGR","Abies grandis","Grand fir","10451_10_19",NA,NA,NA,NA,NA
"LAOC","Larix occidentalis","Western larch","10451_10_19",NA,NA,NA,NA,NA
"PIPO","Pinus ponderosa","Ponderosa pine","10451_20",NA,NA,NA,NA,NA
"PSME","Pseudotsuga menziesii","Douglas-fir","10451_20",NA,NA,NA,NA,NA
"JUCO","Juncus compressus","Roundfruit rush","10451_20",NA,NA,NA,NA,NA
"SYAL","Symphoricarpos albus","Common snowberry","10451_20",NA,NA,NA,NA,NA
"PRVI","Prunus virginiana","Chokecherry","10451_20",NA,NA,NA,NA,NA
"JUSC","Juncus scirpoides","Needlepod rush","10451_20",NA,NA,NA,NA,NA
"MARE11","Mahonia repens","Creeping barberry","10451_20",NA,NA,NA,NA,NA
"PICO","Pinus contorta","Lodgepole pine","10451_20",NA,NA,NA,NA,NA
"LAOC","Larix occidentalis","Western larch","10452_10_19",NA,NA,NA,NA,NA
"PICO","Pinus contorta","Lodgepole pine","10452_10_19",NA,NA,NA,NA,NA
"PSME","Pseudotsuga menziesii","Douglas-fir","10452_10_19",NA,NA,NA,NA,NA
"ABLA","Abies lasiocarpa","Subalpine fir","10452_10_19",NA,NA,NA,NA,NA
"PICO","Pinus contorta","Lodgepole pine","10453_10_19",NA,NA,NA,NA,NA
"PSME","Pseudotsuga menziesii","Douglas-fir","10453_10_19",NA,NA,NA,NA,NA
"LAOC","Larix occidentalis","Western larch","10453_10_19",NA,NA,NA,NA,NA
"ABGR","Abies grandis","Grand fir","10453_10_19",NA,NA,NA,NA,NA
"PICO","Pinus contorta","Lodgepole pine","10454_20",NA,NA,NA,NA,NA
"PSME","Pseudotsuga menziesii","Douglas-fir","10454_20",NA,NA,NA,NA,NA
"JUCO","Juncus compressus","Roundfruit rush","10454_20",NA,NA,NA,NA,NA
"SYAL","Symphoricarpos albus","Common snowberry","10454_20",NA,NA,NA,NA,NA
"ARUV","Arctostaphylos uva-ursi","Kinnikinnick","10454_20",NA,NA,NA,NA,NA
"CARU","Calamagrostis rubescens","Pinegrass","10454_20",NA,NA,NA,NA,NA
"CAGE","Carex geophila","White mountain sedge","10454_20",NA,NA,NA,NA,NA
"PIAL","Pinus albicaulis","Whitebark pine","10460_1_7_9",NA,NA,NA,NA,NA
"ABLA","Abies lasiocarpa","Subalpine fir","10460_1_7_9",NA,NA,NA,NA,NA
"PIAL","Pinus albicaulis","Whitebark pine","10460_10_19_20",NA,NA,NA,NA,NA
"ABLA","Abies lasiocarpa","Subalpine fir","10460_10_19_20",NA,NA,NA,NA,NA
"PIEN","Picea engelmannii","Engelmann spruce","10460_10_19_20",NA,NA,NA,NA,NA
"LALY","Larix lyallii","Subalpine larch","10460_10_19_20",NA,NA,NA,NA,NA
"","","","10460_10_19_20",NA,NA,NA,NA,NA
"TSME","Tsuga mertensiana","Mountain hemlock","10460_10_19_20",NA,NA,NA,NA,NA
"PIAL","Pinus albicaulis","Whitebark pine","10460_18",NA,NA,NA,NA,NA
"ABLA","Abies lasiocarpa","Subalpine fir","10460_18",NA,NA,NA,NA,NA
"PIEN","Picea engelmannii","Engelmann spruce","10460_18",NA,NA,NA,NA,NA
"ARTRV","Artemisia tridentata ssp. vaseyana","Mountain big sagebrush","10460_18",NA,NA,NA,NA,NA
"VASC","Vaccinium scoparium","Grouse whortleberry","10460_18",NA,NA,NA,NA,NA
"FEID","Festuca idahoensis","Idaho fescue","10460_18",NA,NA,NA,NA,NA
"CAGE","Carex geophila","White mountain sedge","10460_18",NA,NA,NA,NA,NA
"PIAL","Pinus albicaulis","Whitebark pine","10460_21",NA,NA,NA,NA,NA
"ABLA","Abies lasiocarpa","Subalpine fir","10460_21",NA,NA,NA,NA,NA
"PIEN","Picea engelmannii","Engelmann spruce","10460_21",NA,NA,NA,NA,NA
"PIMO3","Pinus monticola","Western white pine","10470_10_19",NA,NA,NA,NA,NA
"LAOC","Larix occidentalis","Western larch","10470_10_19",NA,NA,NA,NA,NA
"PSME","Pseudotsuga menziesii","Douglas-fir","10470_10_19",NA,NA,NA,NA,NA
"ABGR","Abies grandis","Grand fir","10470_10_19",NA,NA,NA,NA,NA
"THPL","Thuja plicata","Western red-cedar","10470_10_19",NA,NA,NA,NA,NA
"TSHE","Tsuga heterophylla","Western hemlock","10470_10_19",NA,NA,NA,NA,NA
"ABGR","Abies grandis","Grand fir","10470_8_9",NA,NA,NA,NA,NA
"PSME","Pseudotsuga menziesii","Douglas-fir","10470_8_9",NA,NA,NA,NA,NA
"PIPO","Pinus ponderosa","Ponderosa pine","10470_8_9",NA,NA,NA,NA,NA
"LAOC","Larix occidentalis","Western larch","10470_8_9",NA,NA,NA,NA,NA
"THPL","Thuja plicata","Western red cedar","10472_10_19",NA,NA,NA,NA,NA
"ABGR","Abies grandis","Grand fir","10472_10_19",NA,NA,NA,NA,NA
"LAOC","Larix occidentalis","Western larch","10472_10_19",NA,NA,NA,NA,NA
